timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11224,3346404,10598828,0
0.526,11248,4122116,10598828,0
1.051,11276,4146920,10598828,0
1.577,11276,4147148,10598828,0
2.103,11276,4147152,10598828,0
2.629,11278,4148128,10598828,0
3.157,11278,4149360,10598828,0
3.681,11278,4149540,10598828,0
4.207,11278,4149540,10598828,0
4.734,11278,4149540,10598828,0
5.260,11278,4149540,10598828,0
5.785,11278,4149648,10598828,0
6.310,11278,4149648,10598828,0
6.836,11278,4149648,10598828,0
7.360,11278,4149648,10598828,0
7.886,11278,4149648,10598828,0
8.413,11278,4149648,10598828,0
8.937,11278,4149648,10598828,0
9.464,11278,4150664,10598828,0
9.992,11278,4150664,10598828,0
10.516,11278,4150664,10598828,0
11.041,11278,4150664,10598828,0
11.567,11278,4153476,10598828,0
12.090,11278,4153476,10598828,0
12.615,11278,4153476,10598828,0
13.143,11278,4153476,10598828,0
13.667,11278,4153476,10598828,0
14.195,11278,4153476,10598828,0
14.720,11278,4153476,10598828,0
15.245,11278,4153476,10598828,0
15.768,11278,4153476,10598828,0
16.295,11278,4153476,10598828,0
16.824,11278,4153476,10598828,0
17.350,11278,4153476,10598828,0
17.875,11278,4153476,10598828,0
18.401,11278,4153476,10598828,0
18.924,11278,4153476,10598828,0
19.448,11278,4153476,10598828,0
19.976,11278,4153476,10598828,0
20.504,11278,4153476,10598828,0
21.029,11278,4153476,10598828,0
21.553,11278,4153476,10598828,0
22.077,11278,4153476,10598828,0
22.601,11278,4153476,10598828,0
23.125,11278,4153476,10598828,0
23.648,11278,4153476,10598828,0
24.175,11278,4153476,10598828,0
24.698,11278,4153476,10598828,0
25.225,11278,4153476,10598828,0
25.752,11278,4153476,10598828,0
26.276,11278,4153476,10598828,0
26.803,11278,4153476,10598828,0
27.330,11278,4153476,10598828,0
27.857,11278,4153476,10598828,0
28.384,11278,4153476,10598828,0
28.911,11278,4153476,10598828,0
29.438,11278,4153476,10598828,0
29.965,11278,4153476,10598828,0
30.492,11278,4153856,10598828,0
31.020,11278,4153856,10598828,0
31.547,11278,4153856,10598828,0
32.075,11278,4153856,10598828,0
32.601,11278,4153856,10598828,0
33.126,11278,4153856,10598828,0
33.651,11278,4153856,10598828,0
34.178,11278,4153856,10598828,0
34.705,11278,4153856,10598828,0
35.230,11278,4153856,10598828,0
35.756,11278,4153856,10598828,0
36.281,11278,4153856,10598828,0
36.808,11278,4153856,10598828,0
37.336,11278,4153856,10598828,0
37.861,11278,4153856,10598828,0
38.388,11278,4153856,10598828,0
38.915,11278,4153856,10598828,0
39.441,11278,4153856,10598828,0
39.966,11278,4153856,10598828,0
40.493,11278,4153856,10598828,0
41.020,11278,4153856,10598828,0
41.546,11278,4153856,10598828,0
42.070,11278,4153856,10598828,0
42.596,11278,4153856,10598828,0
43.122,11278,4153856,10598828,0
43.650,11278,4153856,10598828,0
44.176,11278,4153856,10598828,0
44.703,11278,4153856,10598828,0
45.230,11278,4153856,10598828,0
45.756,11278,4153856,10598828,0
46.282,11278,4153856,10598828,0
46.810,11278,4153856,10598828,0
47.338,11278,4153856,10598828,0
47.863,11278,4153856,10598828,0
48.388,11278,4153856,10598828,0
48.913,11278,4154124,10598828,0
49.435,11278,4154124,10598828,0
49.964,11278,4154124,10598828,0
50.490,11278,4154124,10598828,0
51.015,11278,4154124,10598828,0
51.543,11278,4154124,10598828,0
52.066,11278,4154124,10598828,0
52.589,11278,4154124,10598828,0
53.116,11278,4154124,10598828,0
53.642,11278,4154124,10598828,0
54.169,11278,4154124,10598828,0
54.692,11278,4154124,10598828,0
55.217,11278,4154124,10598828,0
55.743,11278,4154124,10598828,0
56.269,11278,4154124,10598828,0
56.796,11278,4154124,10598828,0
57.325,11278,4154124,10598828,0
57.851,11278,4154124,10598828,0
58.378,11278,4154124,10598828,0
58.905,11278,4154124,10598828,0
59.433,11278,4154124,10598828,0
59.958,11278,4154124,10598828,0
60.484,11278,4154124,10598828,0
61.009,11278,4154124,10598828,0
61.535,11278,4154124,10598828,0
62.062,11278,4154124,10598828,0
62.587,11278,4154124,10598828,0
63.114,11278,4154204,10598828,0
63.641,11278,4154204,10598828,0
64.169,11278,4154204,10598828,0
64.696,11278,4154204,10598828,0
65.223,11278,4154204,10598828,0
65.751,11278,4154204,10598828,0
66.278,11278,4154204,10598828,0
66.804,11278,4154204,10598828,0
67.327,11278,4154204,10598828,0
67.849,11278,4154204,10598828,0
68.373,11278,4154204,10598828,0
68.901,11278,4154204,10598828,0
69.424,11278,4154204,10598828,0
69.950,11278,4154204,10598828,0
70.475,11278,4154204,10598828,0
71.001,11278,4154204,10598828,0
71.524,11278,4154204,10598828,0
72.052,11278,4154204,10598828,0
72.580,11278,4154204,10598828,0
73.103,11278,4154204,10598828,0
73.630,11278,4154204,10598828,0
74.158,11278,4154204,10598828,0
74.683,11278,4154204,10598828,0
75.207,11278,4154204,10598828,0
75.735,11278,4154204,10598828,0
76.262,11278,4154204,10598828,0
76.788,11278,4154204,10598828,0
77.315,11278,4154204,10598828,0
77.843,11278,4154204,10598828,0
78.370,11278,4154204,10598828,0
78.896,11278,4154204,10598828,0
79.419,11278,4154204,10598828,0
79.945,11278,4154204,10598828,0
80.468,11278,4154204,10598828,0
80.995,11278,4154204,10598828,0
