timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11068,1678224,10528572,0
0.525,11108,2199300,10528572,0
1.048,11108,2202512,10528572,0
1.573,11108,2204428,10528572,0
2.100,11108,2205280,10528572,0
2.625,11108,2209192,10528572,0
3.150,11108,2209196,10528572,0
3.675,11108,2209328,10528572,0
4.200,11108,2209548,10528572,0
4.725,11108,2209552,10528572,0
5.252,11108,2209552,10528572,0
5.778,11108,2209556,10528572,0
6.305,11108,2209556,10528572,0
6.830,11108,2209560,10528572,0
7.356,11108,2209648,10528572,0
7.883,11108,2209652,10528572,0
8.409,11108,2209952,10528572,0
8.934,11108,2209952,10528572,0
9.461,11108,2209956,10528572,0
9.987,11108,2209956,10528572,0
10.515,11108,2210052,10528572,0
11.041,11108,2210052,10528572,0
11.568,11108,2210052,10528572,0
12.095,11108,2210056,10528572,0
12.618,11108,2210056,10528572,0
13.143,11108,2210060,10528572,0
13.671,11108,2210060,10528572,0
14.196,11108,2210252,10528572,0
14.720,11108,2210256,10528572,0
15.244,11108,2210256,10528572,0
15.770,11108,2210272,10528572,0
16.296,11108,2210272,10528572,0
16.822,11108,2210348,10528572,0
17.346,11108,2210348,10528572,0
17.870,11108,2210348,10528572,0
18.397,11108,2210348,10528572,0
18.919,11108,2210348,10528572,0
19.447,11108,2210348,10528572,0
19.973,11108,2210348,10528572,0
20.499,11108,2210348,10528572,0
21.021,11108,2210348,10528572,0
21.546,11108,2210348,10528572,0
22.074,11108,2210360,10528572,0
22.597,11108,2210360,10528572,0
23.120,11108,2210360,10528572,0
23.646,11108,2210360,10528572,0
24.170,11108,2210360,10528572,0
24.696,11108,2210360,10528572,0
25.220,11108,2210360,10528572,0
25.745,11108,2210360,10528572,0
26.273,11108,2210360,10528572,0
26.796,11108,2210360,10528572,0
27.323,11108,2210360,10528572,0
27.849,11108,2210360,10528572,0
