timestamp_s,vram_mib,rss_kib,vmhwm_kib,vmlck_kib
0.001,11068,1684424,10528588,0
0.527,11108,2201204,10528588,0
1.052,11108,2204404,10528588,0
1.576,11108,2206320,10528588,0
2.102,11108,2207172,10528588,0
2.626,11108,2211252,10528588,0
3.151,11108,2211256,10528588,0
3.678,11108,2211256,10528588,0
4.204,11108,2211344,10528588,0
4.731,11108,2211348,10528588,0
5.258,11108,2211348,10528588,0
5.785,11108,2211352,10528588,0
6.312,11108,2211352,10528588,0
6.837,11108,2211356,10528588,0
7.363,11108,2211636,10528588,0
7.890,11108,2211640,10528588,0
8.418,11108,2211744,10528588,0
8.944,11108,2211744,10528588,0
9.470,11108,2211748,10528588,0
9.996,11108,2211748,10528588,0
10.520,11108,2211852,10528588,0
11.046,11108,2211852,10528588,0
11.571,11108,2211852,10528588,0
12.098,11108,2211856,10528588,0
12.622,11108,2211856,10528588,0
13.147,11108,2211860,10528588,0
13.675,11108,2211872,10528588,0
14.202,11108,2212104,10528588,0
14.725,11108,2212108,10528588,0
15.250,11108,2212108,10528588,0
15.775,11108,2212296,10528588,0
16.302,11108,2212296,10528588,0
16.828,11108,2212296,10528588,0
17.352,11108,2212296,10528588,0
17.878,11108,2212296,10528588,0
18.405,11108,2212296,10528588,0
18.932,11108,2214004,10528588,0
19.459,11108,2214004,10528588,0
19.983,11108,2214004,10528588,0
20.510,11108,2214004,10528588,0
21.037,11108,2214004,10528588,0
21.564,11108,2214004,10528588,0
22.087,11108,2214004,10528588,0
22.613,11108,2214060,10528588,0
23.140,11108,2214060,10528588,0
23.661,11108,2222768,10528588,0
24.184,11108,2305584,10528588,0
24.705,11108,2305584,10528588,0
25.229,11108,2305584,10528588,0
25.754,11108,2305584,10528588,0
26.278,11108,2305584,10528588,0
